,year,bloom_date,bloom_doy
0,1942,1942-04-05,95
1,1943,1943-04-04,94
2,1944,1944-04-09,100
3,1945,1945-03-20,79
4,1946,1946-03-23,82
5,1947,1947-04-12,102
6,1948,1948-03-28,88
7,1949,1949-03-29,88
8,1950,1950-04-09,99
9,1951,1951-04-06,96
10,1952,1952-04-09,100
11,1953,1953-03-27,86
12,1954,1954-04-06,96
13,1955,1955-04-02,92
14,1956,1956-04-06,97
15,1957,1957-04-08,98
16,1958,1958-04-18,108
17,1959,1959-04-06,96
18,1960,1960-04-14,105
19,1961,1961-04-02,92
20,1962,1962-04-07,97
21,1963,1963-04-03,93
22,1964,1964-04-11,102
23,1965,1965-04-15,105
24,1966,1966-04-05,95
25,1967,1967-04-06,96
26,1968,1968-03-30,90
27,1969,1969-04-09,99
28,1970,1970-04-16,106
29,1971,1971-04-08,98
30,1972,1972-04-11,102
31,1973,1973-04-11,101
32,1974,1974-04-03,93
33,1975,1975-04-03,93
34,1976,1976-03-23,83
35,1977,1977-03-26,85
36,1978,1978-04-12,102
37,1979,1979-04-02,92
38,1980,1980-04-06,97
39,1981,1981-04-03,93
40,1982,1982-04-07,97
41,1983,1983-04-07,97
42,1984,1984-04-03,94
43,1985,1985-04-07,97
44,1986,1986-04-02,92
45,1987,1987-03-28,87
46,1988,1988-03-31,91
47,1989,1989-03-29,88
48,1990,1990-03-15,74
49,1991,1991-03-29,88
50,1992,1992-04-07,98
51,1993,1993-04-11,101
52,1994,1994-04-05,95
53,1995,1995-04-02,92
54,1996,1996-04-04,95
55,1997,1997-03-26,85
56,1998,1998-03-27,86
57,1999,1999-04-05,95
58,2000,2000-03-17,77
59,2001,2001-04-06,96
60,2002,2002-04-02,92
61,2003,2003-04-02,92
62,2004,2004-03-31,91
63,2005,2005-04-09,99
64,2006,2006-03-30,89
65,2007,2007-04-01,91
66,2008,2008-03-26,86
67,2009,2009-04-01,91
68,2010,2010-03-31,90
69,2011,2011-03-29,88
70,2012,2012-03-20,80
71,2013,2013-04-09,99
72,2014,2014-04-10,100
73,2015,2015-04-10,100
74,2016,2016-03-25,85
75,2017,2017-03-25,84
76,2018,2018-04-05,95
77,2019,2019-04-01,91
78,2020,2020-03-20,80
79,2021,2021-03-28,87
80,2022,2022-03-21,80
81,2023,2023-03-23,82
82,2024,2024-03-17,77
1000,2025,2025-03-28,87
