,tmin,tmax,temp
0,2.78,14.44,10.0
1,-1.11,11.11,4.444999999999999
2,2.22,11.11,7.775
3,2.78,10.0,7.779999999999999
4,-0.56,9.44,4.16
5,1.11,10.56,6.390000000000001
6,-2.78,6.67,0.5550000000000002
7,-2.22,7.22,1.3899999999999997
8,-1.67,7.22,1.94
9,5.0,7.78,8.89
10,5.56,15.0,13.059999999999999
11,5.0,15.56,12.780000000000001
12,5.0,16.11,13.055
13,6.67,16.11,14.725
14,7.22,16.67,15.555
15,6.67,16.11,14.725
16,4.44,16.67,12.775000000000002
17,3.89,10.56,9.17
18,3.33,13.89,10.275
19,6.67,16.11,14.725
20,6.67,17.22,15.28
21,1.67,17.78,10.56
22,0.56,10.0,5.5600000000000005
23,1.11,10.56,6.390000000000001
24,6.67,13.33,13.335
25,7.22,17.78,16.11
26,5.56,17.78,14.45
27,3.33,11.67,9.165
28,7.78,15.0,15.280000000000001
29,8.33,16.67,16.665
30,9.44,19.44,19.16
